TTree  Jul 18 20:37 2018 Events            ""
    patPackedTriggerPrescales_patTrigger_l1max_DQM.present  "patPackedTriggerPrescales_patTrigger_l1max_DQM.present"  214938
    patPackedTriggerPrescales_patTrigger_l1max_DQM.obj      "patPackedTriggerPrescales_patTrigger_l1max_DQM.obj"      433244889
  patPackedTriggerPrescales_patTrigger_l1min_DQM.                     "patPackedTriggerPrescales_patTrigger_l1min_DQM."                     0
    patPackedTriggerPrescales_patTrigger_l1min_DQM.present  "patPackedTriggerPrescales_patTrigger_l1min_DQM.present"  214938
    patPackedTriggerPrescales_patTrigger_l1min_DQM.obj      "patPackedTriggerPrescales_patTrigger_l1min_DQM.obj"      433244889
  CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__DQM.              "CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__DQM."              0
    CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__DQM.present  "CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__DQM.present"  216485
    CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__DQM.obj      "CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__DQM.obj"      3037044
  patCompositeCandidates_oniaPhotonCandidates_conversions_DQM.        "patCompositeCandidates_oniaPhotonCandidates_conversions_DQM."        0
    patCompositeCandidates_oniaPhotonCandidates_conversions_DQM.present  "patCompositeCandidates_oniaPhotonCandidates_conversions_DQM.present"  217811
    patCompositeCandidates_oniaPhotonCandidates_conversions_DQM.obj      "patCompositeCandidates_oniaPhotonCandidates_conversions_DQM.obj"      96076427
  patElectrons_slimmedElectrons__DQM.                                 "patElectrons_slimmedElectrons__DQM."                                 0
    patElectrons_slimmedElectrons__DQM.present  "patElectrons_slimmedElectrons__DQM.present"  212286
    patElectrons_slimmedElectrons__DQM.obj      "patElectrons_slimmedElectrons__DQM.obj"      631042164
  patIsolatedTracks_isolatedTracks__DQM.                              "patIsolatedTracks_isolatedTracks__DQM."                              0
    patIsolatedTracks_isolatedTracks__DQM.present  "patIsolatedTracks_isolatedTracks__DQM.present"  212949
    patIsolatedTracks_isolatedTracks__DQM.obj      "patIsolatedTracks_isolatedTracks__DQM.obj"      377272336
  patJets_slimmedJets__DQM.                                           "patJets_slimmedJets__DQM."                                           0
    patJets_slimmedJets__DQM.present  "patJets_slimmedJets__DQM.present"  210076
    patJets_slimmedJets__DQM.obj      "patJets_slimmedJets__DQM.obj_"     1525245
      patJets_slimmedJets__DQM.obj.m_state.vertex_.fCoordinates.fX                 "fX[patJets_slimmedJets__DQM.obj_]"                             6775119
      patJets_slimmedJets__DQM.obj.m_state.vertex_.fCoordinates.fY                 "fY[patJets_slimmedJets__DQM.obj_]"                             6775119
      patJets_slimmedJets__DQM.obj.m_state.vertex_.fCoordinates.fZ                 "fZ[patJets_slimmedJets__DQM.obj_]"                             6775119
      patJets_slimmedJets__DQM.obj.m_state.p4Polar_.fCoordinates.fPt               "fPt[patJets_slimmedJets__DQM.obj_]"                            6775661
      patJets_slimmedJets__DQM.obj.m_state.p4Polar_.fCoordinates.fEta              "fEta[patJets_slimmedJets__DQM.obj_]"                           6775932
      patJets_slimmedJets__DQM.obj.m_state.p4Polar_.fCoordinates.fPhi              "fPhi[patJets_slimmedJets__DQM.obj_]"                           6775932
      patJets_slimmedJets__DQM.obj.m_state.p4Polar_.fCoordinates.fM                "fM[patJets_slimmedJets__DQM.obj_]"                             6775390
      patJets_slimmedJets__DQM.obj.m_state.qx3_                                    "qx3_[patJets_slimmedJets__DQM.obj_]"                           6769970
      patJets_slimmedJets__DQM.obj.m_state.pdgId_                                  "pdgId_[patJets_slimmedJets__DQM.obj_]"                         6770512
      patJets_slimmedJets__DQM.obj.m_state.status_                                 "status_[patJets_slimmedJets__DQM.obj_]"                        6770783
      patJets_slimmedJets__DQM.obj.dau                                             "dau[patJets_slimmedJets__DQM.obj_]"                            265785342
      patJets_slimmedJets__DQM.obj.mJetArea                                        "mJetArea[patJets_slimmedJets__DQM.obj_]"                       6768886
      patJets_slimmedJets__DQM.obj.mPileupEnergy                                   "mPileupEnergy[patJets_slimmedJets__DQM.obj_]"                  6770241
